Provice;Country;Lat;Long;Date;Confirmed
Anhui;Mainland China;31.8257;117.2264;1/22/20;1
Anhui;Mainland China;31.8257;117.2264;1/23/20;9
Anhui;Mainland China;31.8257;117.2264;1/24/20;15
Anhui;Mainland China;31.8257;117.2264;1/25/20;39
Anhui;Mainland China;31.8257;117.2264;1/26/20;60
Anhui;Mainland China;31.8257;117.2264;1/27/20;70
Anhui;Mainland China;31.8257;117.2264;1/28/20;106
Anhui;Mainland China;31.8257;117.2264;1/29/20;152
Anhui;Mainland China;31.8257;117.2264;1/30/20;200
Anhui;Mainland China;31.8257;117.2264;1/31/20;237
Anhui;Mainland China;31.8257;117.2264;2/1/20;297
Anhui;Mainland China;31.8257;117.2264;2/2/20;340
Anhui;Mainland China;31.8257;117.2264;2/3/20;408
Anhui;Mainland China;31.8257;117.2264;2/4/20;480
Anhui;Mainland China;31.8257;117.2264;2/5/20;530
Anhui;Mainland China;31.8257;117.2264;2/6/20;591
Anhui;Mainland China;31.8257;117.2264;2/7/20;665
Anhui;Mainland China;31.8257;117.2264;2/8/20;733
Anhui;Mainland China;31.8257;117.2264;2/9/20;779
Anhui;Mainland China;31.8257;117.2264;2/10/20;830
Anhui;Mainland China;31.8257;117.2264;2/11/20;860
Anhui;Mainland China;31.8257;117.2264;2/12/20;889
Anhui;Mainland China;31.8257;117.2264;2/13/20;910
Anhui;Mainland China;31.8257;117.2264;2/14/20;934
Anhui;Mainland China;31.8257;117.2264;2/15/20;950
Anhui;Mainland China;31.8257;117.2264;2/16/20;962
Anhui;Mainland China;31.8257;117.2264;2/17/20;973
Anhui;Mainland China;31.8257;117.2264;2/18/20;982
Anhui;Mainland China;31.8257;117.2264;2/19/20;986
Anhui;Mainland China;31.8257;117.2264;2/20/20;987
Anhui;Mainland China;31.8257;117.2264;2/21/20;988
Anhui;Mainland China;31.8257;117.2264;2/22/20;989
Anhui;Mainland China;31.8257;117.2264;2/23/20;989
Anhui;Mainland China;31.8257;117.2264;2/24/20;989
Anhui;Mainland China;31.8257;117.2264;2/25/20;989
Anhui;Mainland China;31.8257;117.2264;2/26/20;989
Anhui;Mainland China;31.8257;117.2264;2/27/20;989
Anhui;Mainland China;31.8257;117.2264;2/28/20;990
Anhui;Mainland China;31.8257;117.2264;2/29/20;990
Anhui;Mainland China;31.8257;117.2264;3/1/20;990
Anhui;Mainland China;31.8257;117.2264;3/2/20;990
Anhui;Mainland China;31.8257;117.2264;3/3/20;990
Anhui;Mainland China;31.8257;117.2264;3/4/20;990
Anhui;Mainland China;31.8257;117.2264;3/5/20;990
Anhui;Mainland China;31.8257;117.2264;3/6/20;990
Anhui;Mainland China;31.8257;117.2264;3/7/20;990
Beijing;Mainland China;40.1824;116.4142;1/22/20;14
Beijing;Mainland China;40.1824;116.4142;1/23/20;22
Beijing;Mainland China;40.1824;116.4142;1/24/20;36
Beijing;Mainland China;40.1824;116.4142;1/25/20;41
Beijing;Mainland China;40.1824;116.4142;1/26/20;68
Beijing;Mainland China;40.1824;116.4142;1/27/20;80
Beijing;Mainland China;40.1824;116.4142;1/28/20;91
Beijing;Mainland China;40.1824;116.4142;1/29/20;111
Beijing;Mainland China;40.1824;116.4142;1/30/20;114
Beijing;Mainland China;40.1824;116.4142;1/31/20;139
Beijing;Mainland China;40.1824;116.4142;2/1/20;168
Beijing;Mainland China;40.1824;116.4142;2/2/20;191
Beijing;Mainland China;40.1824;116.4142;2/3/20;212
Beijing;Mainland China;40.1824;116.4142;2/4/20;228
Beijing;Mainland China;40.1824;116.4142;2/5/20;253
Beijing;Mainland China;40.1824;116.4142;2/6/20;274
Beijing;Mainland China;40.1824;116.4142;2/7/20;297
Beijing;Mainland China;40.1824;116.4142;2/8/20;315
Beijing;Mainland China;40.1824;116.4142;2/9/20;326
Beijing;Mainland China;40.1824;116.4142;2/10/20;337
Beijing;Mainland China;40.1824;116.4142;2/11/20;342
Beijing;Mainland China;40.1824;116.4142;2/12/20;352
Beijing;Mainland China;40.1824;116.4142;2/13/20;366
Beijing;Mainland China;40.1824;116.4142;2/14/20;372
Beijing;Mainland China;40.1824;116.4142;2/15/20;375
Beijing;Mainland China;40.1824;116.4142;2/16/20;380
Beijing;Mainland China;40.1824;116.4142;2/17/20;381
Beijing;Mainland China;40.1824;116.4142;2/18/20;387
Beijing;Mainland China;40.1824;116.4142;2/19/20;393
Beijing;Mainland China;40.1824;116.4142;2/20/20;395
Beijing;Mainland China;40.1824;116.4142;2/21/20;396
Beijing;Mainland China;40.1824;116.4142;2/22/20;399
Beijing;Mainland China;40.1824;116.4142;2/23/20;399
Beijing;Mainland China;40.1824;116.4142;2/24/20;399
Beijing;Mainland China;40.1824;116.4142;2/25/20;400
