Provice;Country;Lat;Long;Date;Recovered
Anhui;Mainland China;31.8257;117.2264;1/22/20;0
Anhui;Mainland China;31.8257;117.2264;1/23/20;0
Anhui;Mainland China;31.8257;117.2264;1/24/20;0
Anhui;Mainland China;31.8257;117.2264;1/25/20;0
Anhui;Mainland China;31.8257;117.2264;1/26/20;0
Anhui;Mainland China;31.8257;117.2264;1/27/20;0
Anhui;Mainland China;31.8257;117.2264;1/28/20;0
Anhui;Mainland China;31.8257;117.2264;1/29/20;2
Anhui;Mainland China;31.8257;117.2264;1/30/20;2
Anhui;Mainland China;31.8257;117.2264;1/31/20;3
Anhui;Mainland China;31.8257;117.2264;2/1/20;5
Anhui;Mainland China;31.8257;117.2264;2/2/20;7
Anhui;Mainland China;31.8257;117.2264;2/3/20;14
Anhui;Mainland China;31.8257;117.2264;2/4/20;20
Anhui;Mainland China;31.8257;117.2264;2/5/20;23
Anhui;Mainland China;31.8257;117.2264;2/6/20;34
Anhui;Mainland China;31.8257;117.2264;2/7/20;47
Anhui;Mainland China;31.8257;117.2264;2/8/20;59
Anhui;Mainland China;31.8257;117.2264;2/9/20;72
Anhui;Mainland China;31.8257;117.2264;2/10/20;88
Anhui;Mainland China;31.8257;117.2264;2/11/20;105
Anhui;Mainland China;31.8257;117.2264;2/12/20;127
Anhui;Mainland China;31.8257;117.2264;2/13/20;157
Anhui;Mainland China;31.8257;117.2264;2/14/20;193
Anhui;Mainland China;31.8257;117.2264;2/15/20;221
Anhui;Mainland China;31.8257;117.2264;2/16/20;255
Anhui;Mainland China;31.8257;117.2264;2/17/20;280
Anhui;Mainland China;31.8257;117.2264;2/18/20;361
Anhui;Mainland China;31.8257;117.2264;2/19/20;413
Anhui;Mainland China;31.8257;117.2264;2/20/20;474
Anhui;Mainland China;31.8257;117.2264;2/21/20;539
Anhui;Mainland China;31.8257;117.2264;2/22/20;597
Anhui;Mainland China;31.8257;117.2264;2/23/20;637
Anhui;Mainland China;31.8257;117.2264;2/24/20;663
Anhui;Mainland China;31.8257;117.2264;2/25/20;712
Anhui;Mainland China;31.8257;117.2264;2/26/20;744
Anhui;Mainland China;31.8257;117.2264;2/27/20;792
Anhui;Mainland China;31.8257;117.2264;2/28/20;821
Anhui;Mainland China;31.8257;117.2264;2/29/20;868
Anhui;Mainland China;31.8257;117.2264;3/1/20;873
Anhui;Mainland China;31.8257;117.2264;3/2/20;917
Anhui;Mainland China;31.8257;117.2264;3/3/20;936
Anhui;Mainland China;31.8257;117.2264;3/4/20;956
Anhui;Mainland China;31.8257;117.2264;3/5/20;970
Anhui;Mainland China;31.8257;117.2264;3/6/20;979
Anhui;Mainland China;31.8257;117.2264;3/7/20;979
Beijing;Mainland China;40.1824;116.4142;1/22/20;0
Beijing;Mainland China;40.1824;116.4142;1/23/20;0
Beijing;Mainland China;40.1824;116.4142;1/24/20;1
Beijing;Mainland China;40.1824;116.4142;1/25/20;2
Beijing;Mainland China;40.1824;116.4142;1/26/20;2
Beijing;Mainland China;40.1824;116.4142;1/27/20;2
Beijing;Mainland China;40.1824;116.4142;1/28/20;4
Beijing;Mainland China;40.1824;116.4142;1/29/20;4
Beijing;Mainland China;40.1824;116.4142;1/30/20;4
Beijing;Mainland China;40.1824;116.4142;1/31/20;5
Beijing;Mainland China;40.1824;116.4142;2/1/20;9
Beijing;Mainland China;40.1824;116.4142;2/2/20;9
Beijing;Mainland China;40.1824;116.4142;2/3/20;12
Beijing;Mainland China;40.1824;116.4142;2/4/20;23
Beijing;Mainland China;40.1824;116.4142;2/5/20;24
Beijing;Mainland China;40.1824;116.4142;2/6/20;31
Beijing;Mainland China;40.1824;116.4142;2/7/20;33
Beijing;Mainland China;40.1824;116.4142;2/8/20;34
Beijing;Mainland China;40.1824;116.4142;2/9/20;37
Beijing;Mainland China;40.1824;116.4142;2/10/20;44
Beijing;Mainland China;40.1824;116.4142;2/11/20;48
Beijing;Mainland China;40.1824;116.4142;2/12/20;56
Beijing;Mainland China;40.1824;116.4142;2/13/20;69
Beijing;Mainland China;40.1824;116.4142;2/14/20;80
Beijing;Mainland China;40.1824;116.4142;2/15/20;98
Beijing;Mainland China;40.1824;116.4142;2/16/20;108
Beijing;Mainland China;40.1824;116.4142;2/17/20;114
Beijing;Mainland China;40.1824;116.4142;2/18/20;122
Beijing;Mainland China;40.1824;116.4142;2/19/20;145
Beijing;Mainland China;40.1824;116.4142;2/20/20;153
Beijing;Mainland China;40.1824;116.4142;2/21/20;169
Beijing;Mainland China;40.1824;116.4142;2/22/20;178
Beijing;Mainland China;40.1824;116.4142;2/23/20;189
Beijing;Mainland China;40.1824;116.4142;2/24/20;198
Beijing;Mainland China;40.1824;116.4142;2/25/20;215
Beijing;Mainland China;40.1824;116.4142;2/26/20;235
Beijing;Mainland China;40.1824;116.4142;2/27/20;248
Beijing;Mainland China;40.1824;116.4142;2/28/20;257
Beijing;Mainland China;40.1824;116.4142;2/29/20;271
Beijing;Mainland China;40.1824;116.4142;3/1/20;276
Beijing;Mainland China;40.1824;116.4142;3/2/20;282
Beijing;Mainland China;40.1824;116.4142;3/3/20;288
Beijing;Mainland China;40.1824;116.4142;3/4/20;297
Beijing;Mainland China;40.1824;116.4142;3/5/20;297
Beijing;Mainland China;40.1824;116.4142;3/6/20;299
Beijing;Mainland China;40.1824;116.4142;3/7/20;303
Chongqing;Mainland China;30.0572;107.874;1/22/20;0
Chongqing;Mainland China;30.0572;107.874;1/23/20;0
Chongqing;Mainland China;30.0572;107.874;1/24/20;0
Chongqing;Mainland China;30.0572;107.874;1/25/20;0
Chongqing;Mainland China;30.0572;107.874;1/26/20;0
Chongqing;Mainland China;30.0572;107.874;1/27/20;0
Chongqing;Mainland China;30.0572;107.874;1/28/20;0
Chongqing;Mainland China;30.0572;107.874;1/29/20;1
Chongqing;Mainland China;30.0572;107.874;1/30/20;1
Chongqing;Mainland China;30.0572;107.874;1/31/20;1
Chongqing;Mainland China;30.0572;107.874;2/1/20;3
Chongqing;Mainland China;30.0572;107.874;2/2/20;7
Chongqing;Mainland China;30.0572;107.874;2/3/20;9
Chongqing;Mainland China;30.0572;107.874;2/4/20;9
Chongqing;Mainland China;30.0572;107.874;2/5/20;15
Chongqing;Mainland China;30.0572;107.874;2/6/20;24
Chongqing;Mainland China;30.0572;107.874;2/7/20;31
Chongqing;Mainland China;30.0572;107.874;2/8/20;39
Chongqing;Mainland China;30.0572;107.874;2/9/20;51
Chongqing;Mainland China;30.0572;107.874;2/10/20;66
Chongqing;Mainland China;30.0572;107.874;2/11/20;79
Chongqing;Mainland China;30.0572;107.874;2/12/20;102
Chongqing;Mainland China;30.0572;107.874;2/13/20;128
Chongqing;Mainland China;30.0572;107.874;2/14/20;152
Chongqing;Mainland China;30.0572;107.874;2/15/20;184
Chongqing;Mainland China;30.0572;107.874;2/16/20;207
Chongqing;Mainland China;30.0572;107.874;2/17/20;225
Chongqing;Mainland China;30.0572;107.874;2/18/20;254
Chongqing;Mainland China;30.0572;107.874;2/19/20;274
Chongqing;Mainland China;30.0572;107.874;2/20/20;299
Chongqing;Mainland China;30.0572;107.874;2/21/20;316
Chongqing;Mainland China;30.0572;107.874;2/22/20;328
Chongqing;Mainland China;30.0572;107.874;2/23/20;335
Chongqing;Mainland China;30.0572;107.874;2/24/20;349
Chongqing;Mainland China;30.0572;107.874;2/25/20;372
Chongqing;Mainland China;30.0572;107.874;2/26/20;384
Chongqing;Mainland China;30.0572;107.874;2/27/20;401
Chongqing;Mainland China;30.0572;107.874;2/28/20;422
Chongqing;Mainland China;30.0572;107.874;2/29/20;438
Chongqing;Mainland China;30.0572;107.874;3/1/20;450
Chongqing;Mainland China;30.0572;107.874;3/2/20;469
Chongqing;Mainland China;30.0572;107.874;3/3/20;490
Chongqing;Mainland China;30.0572;107.874;3/4/20;502
Chongqing;Mainland China;30.0572;107.874;3/5/20;512
Chongqing;Mainland China;30.0572;107.874;3/6/20;513
Chongqing;Mainland China;30.0572;107.874;3/7/20;526
Fujian;Mainland China;26.0789;117.9874;1/22/20;0
Fujian;Mainland China;26.0789;117.9874;1/23/20;0
Fujian;Mainland China;26.0789;117.9874;1/24/20;0
Fujian;Mainland China;26.0789;117.9874;1/25/20;0
Fujian;Mainland China;26.0789;117.9874;1/26/20;0
Fujian;Mainland China;26.0789;117.9874;1/27/20;0
Fujian;Mainland China;26.0789;117.9874;1/28/20;0
Fujian;Mainland China;26.0789;117.9874;1/29/20;0
Fujian;Mainland China;26.0789;117.9874;1/30/20;0
Fujian;Mainland China;26.0789;117.9874;1/31/20;0
Fujian;Mainland China;26.0789;117.9874;2/1/20;0
Fujian;Mainland China;26.0789;117.9874;2/2/20;0
Fujian;Mainland China;26.0789;117.9874;2/3/20;1
Fujian;Mainland China;26.0789;117.9874;2/4/20;3
Fujian;Mainland China;26.0789;117.9874;2/5/20;11
Fujian;Mainland China;26.0789;117.9874;2/6/20;14
Fujian;Mainland China;26.0789;117.9874;2/7/20;20
Fujian;Mainland China;26.0789;117.9874;2/8/20;24
Fujian;Mainland China;26.0789;117.9874;2/9/20;35
Fujian;Mainland China;26.0789;117.9874;2/10/20;39
Fujian;Mainland China;26.0789;117.9874;2/11/20;45
Fujian;Mainland China;26.0789;117.9874;2/12/20;53
Fujian;Mainland China;26.0789;117.9874;2/13/20;57
Fujian;Mainland China;26.0789;117.9874;2/14/20;63
Fujian;Mainland China;26.0789;117.9874;2/15/20;71
Fujian;Mainland China;26.0789;117.9874;2/16/20;82
Fujian;Mainland China;26.0789;117.9874;2/17/20;90
Fujian;Mainland China;26.0789;117.9874;2/18/20;93
Fujian;Mainland China;26.0789;117.9874;2/19/20;112
Fujian;Mainland China;26.0789;117.9874;2/20/20;126
Fujian;Mainland China;26.0789;117.9874;2/21/20;149
Fujian;Mainland China;26.0789;117.9874;2/22/20;162
Fujian;Mainland China;26.0789;117.9874;2/23/20;170
Fujian;Mainland China;26.0789;117.9874;2/24/20;183
Fujian;Mainland China;26.0789;117.9874;2/25/20;199
Fujian;Mainland China;26.0789;117.9874;2/26/20;218
Fujian;Mainland China;26.0789;117.9874;2/27/20;228
Fujian;Mainland China;26.0789;117.9874;2/28/20;235
Fujian;Mainland China;26.0789;117.9874;2/29/20;243
Fujian;Mainland China;26.0789;117.9874;3/1/20;247
Fujian;Mainland China;26.0789;117.9874;3/2/20;255
Fujian;Mainland China;26.0789;117.9874;3/3/20;260
Fujian;Mainland China;26.0789;117.9874;3/4/20;270
Fujian;Mainland China;26.0789;117.9874;3/5/20;277
Fujian;Mainland China;26.0789;117.9874;3/6/20;284
Fujian;Mainland China;26.0789;117.9874;3/7/20;295
Gansu;Mainland China;36.0611;103.8343;1/22/20;0
Gansu;Mainland China;36.0611;103.8343;1/23/20;0
Gansu;Mainland China;36.0611;103.8343;1/24/20;0
Gansu;Mainland China;36.0611;103.8343;1/25/20;0
Gansu;Mainland China;36.0611;103.8343;1/26/20;0
Gansu;Mainland China;36.0611;103.8343;1/27/20;0
Gansu;Mainland China;36.0611;103.8343;1/28/20;0
Gansu;Mainland China;36.0611;103.8343;1/29/20;0
Gansu;Mainland China;36.0611;103.8343;1/30/20;0
Gansu;Mainland China;36.0611;103.8343;1/31/20;0
Gansu;Mainland China;36.0611;103.8343;2/1/20;0
Gansu;Mainland China;36.0611;103.8343;2/2/20;3
Gansu;Mainland China;36.0611;103.8343;2/3/20;3
Gansu;Mainland China;36.0611;103.8343;2/4/20;4
Gansu;Mainland China;36.0611;103.8343;2/5/20;6
Gansu;Mainland China;36.0611;103.8343;2/6/20;6
Gansu;Mainland China;36.0611;103.8343;2/7/20;9
Gansu;Mainland China;36.0611;103.8343;2/8/20;12
Gansu;Mainland China;36.0611;103.8343;2/9/20;16
Gansu;Mainland China;36.0611;103.8343;2/10/20;17
Gansu;Mainland China;36.0611;103.8343;2/11/20;24
Gansu;Mainland China;36.0611;103.8343;2/12/20;31
Gansu;Mainland China;36.0611;103.8343;2/13/20;39
Gansu;Mainland China;36.0611;103.8343;2/14/20;39
Gansu;Mainland China;36.0611;103.8343;2/15/20;49
Gansu;Mainland China;36.0611;103.8343;2/16/20;54
Gansu;Mainland China;36.0611;103.8343;2/17/20;58
Gansu;Mainland China;36.0611;103.8343;2/18/20;62
Gansu;Mainland China;36.0611;103.8343;2/19/20;65
Gansu;Mainland China;36.0611;103.8343;2/20/20;71
Gansu;Mainland China;36.0611;103.8343;2/21/20;76
Gansu;Mainland China;36.0611;103.8343;2/22/20;76
Gansu;Mainland China;36.0611;103.8343;2/23/20;78
Gansu;Mainland China;36.0611;103.8343;2/24/20;80
Gansu;Mainland China;36.0611;103.8343;2/25/20;80
Gansu;Mainland China;36.0611;103.8343;2/26/20;81
Gansu;Mainland China;36.0611;103.8343;2/27/20;81
Gansu;Mainland China;36.0611;103.8343;2/28/20;82
Gansu;Mainland China;36.0611;103.8343;2/29/20;82
Gansu;Mainland China;36.0611;103.8343;3/1/20;84
Gansu;Mainland China;36.0611;103.8343;3/2/20;85
Gansu;Mainland China;36.0611;103.8343;3/3/20;86
Gansu;Mainland China;36.0611;103.8343;3/4/20;87
Gansu;Mainland China;36.0611;103.8343;3/5/20;87
Gansu;Mainland China;36.0611;103.8343;3/6/20;87
Gansu;Mainland China;36.0611;103.8343;3/7/20;87
Guangdong;Mainland China;23.3417;113.4244;1/22/20;0
Guangdong;Mainland China;23.3417;113.4244;1/23/20;2
